From	To
Q6UXN2	TREML4
P68366	TUBA4A
Q9UPU7	TBC1D2B
A0A087X1G2	TBC1D3K
Q9NUJ3	TCP11L1
P59534	TAS2R39
Q15813	TBCE
Q9H7F4	TMEM185B
P17542	TAL1
Q07654	TFF3
Q96QE5	TEFM
Q5VZ19	TDRD10
Q9NWX6	THG1L
P20226	TBP
Q96EK4	THAP11
O15119	TBX3
Q86X19	TMEM17
P13385	TDGF1
Q7Z410	TMPRSS9
Q9Y2Y6	TMEM98
Q9H892	TTC12
P98066	TNFAIP6
Q9BU70	TRMO
Q5VY80	RAET1L
A6NDG6	PGP
Q8N4L2	PIP4P2
P78356	PIP4K2B
P27169	PON1
P25789	PSMA4
A0A096LP55	UQCRHL
Q3MIT2	PUS10
Q96QR8	PURB
O60671	RAD1
Q96EV2	RBM33
Q96HA9	PEX11G
Q9Y388	RBMX2
Q9UKM9	RALY
Q86UN2	RTN4RL1
Q96IC2	REXO5
P61018	RAB4B
Q8N4Z0	RAB42
P61586	RHOA
O00212	RHOD
P36578	RPL4
P46777	RPL5
Q92730	RND1
Q9H9Y2	RPF1
Q9H0U6	MRPL18
Q684P5	RAP1GAP2
Q9BYD1	MRPL13
P62263	RPS14
Q5VWQ0	RSBN1
Q96S79	RASL10B
P62241	RPS8
Q9UHP6	RSPH14
P62308	SNRPG
Q9Y2V3	RAX
Q9NSN8	SNTG1
O75093	SLIT1
Q6IEG0	SNRNP48
Q9H173	SIL1
Q8IYM2	SLFN12
Q9UIG8	SLCO3A1
Q14BN4	SLMAP
Q9UNH7	SNX6
Q68D06	SLFN13
Q9H4F1	ST6GALNAC4
O75908	SOAT2
P57073	SOX8
Q9NZQ3	NCKIPSD
Q8IXZ3	SP8
P0C7V6	SUPT20HL2
Q14940	SLC9A5
Q9NYA1	SPHK1
Q9BTD1	SHANK2-AS3
Q7Z6J0	SH3RF1
A0A1B0GVY4	SMIM31
Q9ULL8	SHROOM4
P30874	SSTR2
O60284	ST18
Q5T6F2	UBAP2
A6NNY8	USP27X
Q9BZX2	UCK2
Q96RU2	USP28
P0CG35	TMSB15B
P21675	TAF1
Q7Z7C8	TAF8
Q9NP81	SARS2
Q9NYW6	TAS2R3
Q8N5C8	TAB3
A6NER0	TBC1D3F
Q8WVE7	TMEM170A
Q7L7X3	TAOK1
